"contacts","social","laws","citizenship","workpermit","employment","attitude","country","destination","candidate","c.same","id","gender","age","children","educ","prewar","satisfaction","migmotivation","miglikely","prefchar","prefcountry","incentivised","t_choice"
"Family","Generous support for refugees","Ban on immigration from Muslim countries","After 8 years","After 12 months","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Germany",0,1,0,747,"Male","18 - 29","No","Diploma or technical certificate (2-year)","0",8,1,5,"Employment / career opportunities","Canada","1","8.106"
"No contacts","Free housing","No religious bans","After 3 years","After 12 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Germany",1,1,0,749,"Male","40-49","Yes","High school graduate (Baccalaureate / Tawjihi)","0",3,1,2,"Citizenship and rights","Canada","1","50.215"
"Other Syrians","No minimum wage","Ban on hijab in schools","After 8 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","United Kingdom (UK)",0,1,0,751,"Male","18 - 29","No","Bachelor's degree (4-year)","1",8,1,6,"Friends / family / relatives in the country","Germany","1","13.758"
"Family","Free housing","Ban on nikab and burka in public","After 8 years","Immediately","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","United States of America (USA)",1,1,1,754,"Male","30-39","No","Bachelor's degree (4-year)","0",2,1,6,"Education opportunities","UK","1","21.466"
"Friends","No minimum wage","Ban on hijab in schools","After 8 years","Immediately","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","United Kingdom (UK)",0,1,1,757,"Male","30-39","No","Some college but no degree","0",7,6,3,"Asylum policies (e.g. family reunification, resettlement)","Germany","1","5.329"
"No contacts","Free healthcare","Ban on hijab in schools","After 8 years","After 12 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","France",1,1,0,758,"Male","18 - 29","No","Diploma or technical certificate (2-year)","0",7,1,3,"Education opportunities","Canada","1","12.316"
"Friends","No minimum wage","Ban on immigration from Muslim countries","After 3 years","After 3 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Germany",1,1,0,759,"Male","18 - 29","No","Some college but no degree","0",3,1,6,"Education opportunities","Canada","1","86.288"
"Other Syrians","No minimum wage","Ban on hijab in schools","After 5 years","After 12 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","United Kingdom (UK)",0,1,0,760,"Male","30-39","Yes","Some college but no degree","0",7,1,2,"Citizenship and rights","Canada","1","49.121"
"No contacts","Free housing","Ban on nikab and burka in public","After 3 years","Immediately","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","France",1,1,0,761,"Male","18 - 29","No","Less than high school degree","1",2,1,6,"Social benefits and healthcare","Germany","1","59.993"
"Family","Generous support for refugees","Ban on immigration from Muslim countries","After 3 years","After 3 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","United Kingdom (UK)",0,1,0,762,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",5,2,4,"Education opportunities","USA","1","27.065"
"Family","Free healthcare","Ban on nikab and burka in public","After 3 years","Immediately","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Germany",0,1,0,765,"Female","18 - 29","No","Some college but no degree","1",6,1,5,"Employment / career opportunities","Canada","1","12.469"
"Friends","Free healthcare","Ban on hijab in schools","After 8 years","After 3 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","United Kingdom (UK)",0,1,0,766,"Female","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","1",NA,1,3,"Education opportunities","UK","1","15.2"
"Family","Free housing","Ban on immigration from Muslim countries","After 8 years","After 3 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","United Kingdom (UK)",0,1,0,767,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",8,4,6,"Education opportunities","Canada","1","4.232"
"Other Syrians","No minimum wage","Ban on hijab in schools","After 5 years","After 3 months","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","United States of America (USA)",1,1,0,770,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",5,4,6,"Citizenship and rights","USA","1","14.818"
"Friends","Generous support for refugees","No religious bans","After 3 years","After 3 months","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Canada",1,1,0,775,"Prefer not to answer","18 - 29","No","Some college but no degree","0",4,1,3,"Education opportunities","Canada","1","104.627"
"Family","Free housing","No religious bans","After 8 years","After 3 months","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Canada",1,1,0,776,"Female","18 - 29","No","Some college but no degree","1",8,4,6,"Citizenship and rights","USA","1","33.16"
"Family","Free healthcare","Ban on hijab in schools","After 8 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","United States of America (USA)",0,1,0,778,"Male","18 - 29","No","Diploma or technical certificate (2-year)","0",4,1,6,"Education opportunities","UK","1","47.422"
"No contacts","Free healthcare","No religious bans","After 8 years","After 12 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","Germany",1,1,0,779,"Female","40-49","Yes","Less than high school degree","0",5,4,5,"Friends / family / relatives in the country","USA","1","76.591"
"Other Syrians","No minimum wage","Ban on nikab and burka in public","After 3 years","After 12 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","United States of America (USA)",1,1,0,781,"Male","30-39","Yes","Bachelor's degree (4-year)","1",2,1,3,"Citizenship and rights","Canada","1","19.952"
"Friends","Free housing","Ban on immigration from Muslim countries","After 3 years","After 3 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","France",1,1,0,782,"Male","18 - 29","Prefer not to answer","High school graduate (Baccalaureate / Tawjihi)","0",4,1,3,"Education opportunities","UK","1","9.334"
"Family","Free housing","Ban on immigration from Muslim countries","After 8 years","Immediately","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Germany",0,1,0,784,"Female","18 - 29","No","Some college but no degree","0",7,1,5,"Asylum policies (e.g. family reunification, resettlement)","Canada","1","130.811"
"Friends","No minimum wage","Ban on immigration from Muslim countries","After 8 years","After 12 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","France",1,1,0,785,"Male","18 - 29","No","Less than high school degree","0",7,3,5,"Employment / career opportunities","UK","1","22.136"
"Family","Free housing","Ban on nikab and burka in public","After 8 years","After 3 months","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Canada",0,1,0,786,"Male","18 - 29","No","Bachelor's degree (4-year)","0",4,1,3,"Asylum policies (e.g. family reunification, resettlement)","Canada","1","48.822"
"No contacts","Free housing","Ban on nikab and burka in public","After 5 years","Immediately","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","France",0,2,0,1,"Male","40-49","Yes","Bachelor's degree (4-year)","0",7,1,6,"Citizenship and rights","UK","0","40.194"
"Friends","No minimum wage","Ban on nikab and burka in public","After 5 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","United States of America (USA)",0,2,0,2,"Male","50-59","Yes","Bachelor's degree (4-year)","0",NA,3,4,"Citizenship and rights","UK","0","29.436"
"No contacts","Generous support for refugees","Ban on nikab and burka in public","After 5 years","After 3 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","United Kingdom (UK)",0,2,0,3,"Male","30-39","No","Bachelor's degree (4-year)","0",2,1,2,"Citizenship and rights","Canada","0","18.431"
"No contacts","Generous support for refugees","Ban on immigration from Muslim countries","After 8 years","Immediately","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","United Kingdom (UK)",0,2,0,5,"Male","18 - 29","No","Bachelor's degree (4-year)","0",2,1,5,"Employment / career opportunities","Canada","0","24.481"
"Family","Free healthcare","Ban on nikab and burka in public","After 5 years","After 3 months","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Canada",1,2,0,8,"Male","18 - 29","No","Bachelor's degree (4-year)","0",2,1,2,"Employment / career opportunities","Germany","0","5.846"
"No contacts","Free housing","No religious bans","After 3 years","After 3 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Germany",0,2,0,9,"Female","30-39","Yes","High school graduate (Baccalaureate / Tawjihi)","0",8,1,4,"Employment / career opportunities","Canada","0","8.121"
"No contacts","No minimum wage","Ban on immigration from Muslim countries","After 5 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Germany",1,2,1,10,"Male","30-39","Yes","Diploma or technical certificate (2-year)","0",2,1,2,"Citizenship and rights","Canada","0","93.724"
"Family","No minimum wage","Ban on hijab in schools","After 8 years","After 3 months","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","United States of America (USA)",1,2,0,12,"Male","50-59","Yes","Bachelor's degree (4-year)","0",2,3,3,"Employment / career opportunities","USA","0","10.326"
"Other Syrians","No minimum wage","No religious bans","After 5 years","Immediately","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","United Kingdom (UK)",0,2,1,13,"Male","18 - 29","No","Bachelor's degree (4-year)","0",8,2,3,"Citizenship and rights","Canada","0","7.172"
"Friends","Free housing","Ban on hijab in schools","After 3 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","United States of America (USA)",1,2,0,17,"Male","18 - 29","No","Master's degree or higher","0",5,4,4,"Friends / family / relatives in the country","UK","0","14.58"
